marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Left_Accumbens_area;0.23935545664731914;0.5545878978942824;0.31523244124696326;26.147572211792692;1;3.162945372455822e-07;-8.562652333802447;1.484016843917276;7.931111959636509e-09;0.23900529531089912;0.558880745130512;500
Left_Hippocampus;0.23935545664731914;0.6677489936453403;0.4283935369980212;42.09357036232319;1;8.700879990057662e-11;-8.76616119153525;1.1441671059914063;1.8361769784163813e-14;0.39847265589736797;0.6856379817404818;500
Left_Amygdala;0.23935545664731914;0.4829890606132629;0.24363360396594377;19.72876403632455;1;8.924789463257638e-06;-12.090509145410797;2.4716978502469846;1.0002943734168971e-06;0.12128833076938132;0.45127406782207;500
Left_Caudate;0.23935545664731914;0.5118445879061967;0.2724891312588775;18.182374264373152;1;2.0072794265736698e-05;-8.49593357067434;1.700974656682929;5.89137539028119e-07;-0.0339086037345637;0.48875929801418594;500
Left_Pallidum;0.23935545664731914;0.707158961766314;0.4678035051189948;50.82804667914502;1;1.0082267530966017e-12;-10.165356302674452;1.1471127309841291;7.881117865079953e-19;0.433183316094661;0.7175490525385428;500
Left_Putamen;0.23935545664731914;0.7222563977798789;0.48290094113255977;52.20699039186019;1;4.994801344060564e-13;-12.139729835607765;1.3536924179128422;3.0231934042101836e-19;0.4471977540508466;0.7274596023543114;500
Left_VentralDC;0.23935545664731914;0.7675859654671391;0.5282305088198199;62.333736502955844;1;2.899157912685975e-15;-11.85708068412614;1.096614755231628;3.005689482519195e-27;0.48590863307059;0.7343513750012016;500
Left_Thalamus;0.23935545664731914;0.7379206144556212;0.498565157808302;54.04980095093396;1;1.954719127950132e-13;-11.466627940705735;1.1651162843481673;7.450379903825992e-23;0.4528628850577126;0.7195629897907695;500
Right_Accumbens_area;0.23935545664731914;0.5861626874938415;0.3468072308465223;30.59778615060918;1;3.174557712204302e-08;-7.627764644400034;1.2018856695651492;2.202718304088438e-10;0.28100685837818584;0.5786057923756845;500
Right_Hippocampus;0.23935545664731914;0.6415797329909926;0.4022242763436734;37.60223307169781;1;8.674511574698428e-10;-8.965753077458732;1.2312614239707649;3.2948714188404024e-13;0.3549217407590798;0.642331596659245;500
Right_Amygdala;0.23935545664731914;0.3599917895163978;0.12063633286907868;7.10090777560481;1;0.007704492157457892;-9.653491949967808;3.3876872469241652;0.004377674608894235;-0.04403425030268233;0.279560057249802;500
Right_Caudate;0.23935545664731914;0.4803833484274952;0.24102789178017606;14.620477058720098;1;0.00013147813472632743;-7.664203787681195;1.67957793438341;5.038638982151086e-06;-0.10831248921711514;0.48616281425627744;500
Right_Pallidum;0.23935545664731914;0.5932011899329592;0.35384573328564006;31.90142992406004;1;1.6219770944356393e-08;-8.768959450847314;1.3177615032873575;2.84388668518231e-11;0.10078747215207445;0.6296901186110218;500
Right_Putamen;0.23935545664731914;0.6035744185897844;0.3642189619424653;33.291883074888574;1;7.931299695040632e-09;-10.586008795934962;1.577195365563704;1.9208027128962723e-11;0.3003471947811121;0.640015126496105;500
Right_Thalamus;0.23935545664731914;0.6995255381152691;0.4601700814679499;46.43713370869733;1;9.460552546128416e-12;-11.084401845933339;1.2640171171476873;1.7996173687815307e-18;0.39145282391873865;0.7066172923780958;500
Right_VentralDC;0.23935545664731914;0.7424982847280007;0.5031428280806816;56.37063133472532;1;6.00201849733004e-14;-11.235012816590494;1.1243402427171858;1.6431935282139392e-23;0.44056729577918363;0.7327907528391058;500
ctx_lh_bankssts;0.23935545664731914;0.6063885510559159;0.36703309440859677;32.334330500181466;1;1.297996946812305e-08;-7.793724549218663;1.1819958576414096;4.2900192443696304e-11;0.3101353374968855;0.6121541101779004;500
ctx_lh_caudalanteriorcingulate;0.23935545664731914;0.5483350984282488;0.3089796417809296;24.937533840515698;1;5.921820412452106e-07;-4.791950065552098;0.8645792763093864;2.9814513116992514e-08;0.25145721689198747;0.553114644668608;500
ctx_lh_cuneus;0.23935545664731914;0.6778510063133255;0.43849554966600635;43.63459158186191;1;3.957810522651857e-11;-15.812680970171492;1.9027763741144152;9.544416483845627e-17;0.27981743938358167;0.64871699436704;500
