marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Left_Amygdala;0.23935545664731914;0.5397672430105865;0.3004117863632674;26.14822041333332;1;3.161883779058424e-07;-0.10501382023095339;0.018067089287861302;6.1569817963168726e-09;0.016650180748387207;0.5503430265248795;500
Left_Hippocampus;0.23935545664731914;0.6850410339067202;0.44568557725940106;47.42277563171075;1;5.72140503909544e-12;-0.07100824433069496;0.008379502357370167;2.3702448504126457e-17;0.39676498071574723;0.6786752140675608;500
Left_Accumbens_area;0.23935545664731914;0.39822460631396084;0.1588691496666417;12.022086269951615;1;0.0005257382147043021;-0.05003723073932147;0.013789783540854297;0.0002849926070671444;-0.00384785244443059;0.3934046618121749;500
Left_Caudate;0.23935545664731914;0.40109636544181976;0.16174090879450062;6.243774221820729;1;0.012463060485094418;-0.03422687894243336;0.010654850266928233;0.0013166374184599937;-0.10420454829284598;0.34382267222914265;500
Left_Pallidum;0.23935545664731914;0.6310400896858744;0.3916846330385553;39.90772957116502;1;2.662474928622334e-10;-0.17827203568722663;0.023378965947348642;2.434346826136528e-14;0.2955701853650954;0.6148030876165772;500
Left_Putamen;0.23935545664731914;0.4654643485030401;0.22610889185572094;17.235002072407497;1;3.3029460322288484e-05;-0.1415470467904847;0.03108898421807623;5.289515881669781e-06;0.00465308854859851;0.4663647914822308;500
Left_Thalamus;0.23935545664731914;0.724435850125368;0.4850803934780489;53.81051392557691;1;2.2078804481698445e-13;-0.0800482940040861;0.00902330133237473;7.230546968336726e-19;0.42046637226624806;0.7520773656284461;500
Left_VentralDC;0.23935545664731914;0.6310496602642406;0.3916942036169214;40.28954715205629;1;2.1897745942452547e-10;-0.17145585245767217;0.022616119695417235;3.42545416709482e-14;0.3223983945926545;0.6373647484982342;500
Right_Accumbens_area;0.23935545664731914;0.3828438719942113;0.1434884153468922;10.496220965610007;1;0.0011961894363799914;-0.03903518284516285;0.01171342535048316;0.0008606437765569805;-0.00496551209176169;0.31064246294837566;500
Right_Amygdala;0.23935545664731914;0.41461131437792503;0.1752558577306059;13.008893204569517;1;0.00031001512367439794;-0.07066514274285887;0.018338504399689457;0.00011650053538141662;0.0023153908837580525;0.3718536371547592;500
Right_Hippocampus;0.23935545664731914;0.6526513906409813;0.41329593399366216;41.81297172105633;1;1.0043488438665769e-10;-0.0678150095437748;0.008567120976069834;2.4580814160424115e-15;0.3173012053751835;0.6538584531550914;500
Right_Caudate;0.23935545664731914;0.42593201903585903;0.1865765623885399;8.723645904269063;1;0.0031410927132989467;-0.034097302888956696;0.009313216553375733;0.0002510625318481293;-0.11025912742624748;0.391879288030979;500
Right_Pallidum;0.23935545664731914;0.3235854218117931;0.08422996516447398;6.7707019752951965;1;0.009266637936226922;-0.06755975185510052;0.02791234169498538;0.015502342895220308;0.011577938930418946;0.425162349675137;500
Right_Putamen;0.23935545664731914;0.36713313997142527;0.12777768332410613;7.025726855849825;1;0.008034685126900514;-0.094014626540658;0.033803106586137;0.005415132051220857;-0.06883063478184974;0.28425672666567825;500
Right_Thalamus;0.23935545664731914;0.6988375439301416;0.45948208728282247;49.96024683937509;1;1.568926016837559e-12;-0.079193918163831;0.009660659075293686;2.452972650554891e-16;0.3930935026506959;0.7275604710040617;500
Right_VentralDC;0.23935545664731914;0.6863554179986842;0.446999961351365;52.05320302020476;1;5.401704459375545e-13;-0.16829731151058183;0.01833060384062776;4.262335597033464e-20;0.3751732978240337;0.6768486766484973;500
ctx_lh_bankssts;0.23935545664731914;0.6151696761710216;0.3758142195237024;33.25276451975475;1;8.092462697391573e-09;-0.05092473326491872;0.007362122855436992;4.6089731759201376e-12;0.21587244595987107;0.6342865187040663;500
