marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Left_Hippocampus;0.23935545664731914;0.4747249419553526;0.23536948530803345;19.23514094775743;1;1.1556636102939296e-05;15159.976716749727;3148.5944232303077;1.4731826589925476e-06;0.11099963233165416;0.43532647543923975;500
Left_Amygdala;0.23935545664731914;0.4280647948051793;0.18870933815786015;17.178585567442553;1;3.4025036923223865e-05;14908.444500271267;3354.8567639733674;8.836759841126366e-06;0.10097480763468485;0.40422183822453345;500
Left_Accumbens_area;0.23935545664731914;0.2721717523123071;0.03281629566498798;2.5089512196149713;1;0.11320124599845091;6767.3293618905;4232.895039020857;0.10987677110386335;-0.004327516267619551;0.19410933883917592;500
Left_Caudate;0.23935545664731914;0.4110547172906737;0.17169926064335458;14.381761184022764;1;0.00014924085961085437;12419.021240474476;3085.51640892819;5.6989622280888384e-05;0.05619066147780744;0.3929395299066942;500
Left_Putamen;0.23935545664731914;0.4215695449710993;0.18221408832378014;12.997112403647861;1;0.0003119717036631855;14891.148645548188;3835.567442501979;0.0001034370331974692;0.019011231879251536;0.3683365648469821;500
Left_Pallidum;0.23935545664731914;0.27181215368787937;0.03245669704056023;2.3670732605594935;1;0.1239191823841194;4289.205707906913;2804.0306609733775;0.12610160133160703;-0.023460782217933383;0.24257437051160732;500
Left_VentralDC;0.23935545664731914;0.608121430966422;0.36876597431910285;36.20177344480925;1;1.7790858166492858e-09;16139.219591238185;2397.72178999544;1.6842648598615824e-11;0.07145621354325137;0.5677462037251085;500
Left_Thalamus;0.23935545664731914;0.5935156325759388;0.3541601759286196;33.00628384209887;1;9.186148865197712e-09;14312.494818887315;2201.576840410298;7.977728430019675e-11;0.10678080344432836;0.590684775434795;500
Right_Accumbens_area;0.23935545664731914;0.2703896139797483;0.031034157332429174;2.5704226365890577;1;0.10887863954974726;6907.2814879169455;4347.53476298601;0.1121097996254807;-0.012266704345995074;0.10772688982046405;500
Right_Amygdala;0.23935545664731914;0.26710433207786394;0.0277488754305448;2.6903237714601005;1;0.10095929780163401;8843.69266425814;5358.105038811527;0.0988353624016989;-0.010038350159289219;0.21861899534349863;500
Right_Caudate;0.23935545664731914;0.3174873315569075;0.07813187490958837;5.434414811029342;1;0.019743705021326007;7488.743651001044;3122.809371717174;0.016481309135055994;-0.003983335439123814;0.2167463239643668;500
Right_Hippocampus;0.23935545664731914;0.3012768939463947;0.06192143729907554;3.549627689105421;1;0.059558812451204514;6877.452230128341;3614.7658767463886;0.05709280709883372;-0.022172391825668693;0.17840107930712715;500
Right_Pallidum;0.23935545664731914;0.2397269944481122;0.00037153780079307586;0.004880955508269835;1;0.944302037870751;172.9456265658289;2480.1423492992794;0.9444068622494074;-0.021283817848469232;0.08355768639996063;500
Right_Thalamus;0.23935545664731914;0.5839051608455538;0.3445497041982346;33.36449763055106;1;7.640610658797778e-09;16413.03375618347;2436.1226297655885;1.6129085957371072e-11;0.1793189832115577;0.5795053103666068;500
Right_VentralDC;0.23935545664731914;0.5252682400146292;0.2859127833673101;25.61530060888532;1;4.1672194711165367e-07;13371.472951427044;2441.417667266581;4.327690280052322e-08;0.04481854659427158;0.5802056464578923;500
Right_Putamen;0.23935545664731914;0.28621707707431515;0.046861620426996015;2.2261445855438637;1;0.1356920658466206;6492.232818004612;4316.508876817947;0.1325692301652982;-0.017196735804631675;0.18380697982297106;500
ctx_lh_caudalanteriorcingulate;0.23935545664731914;0.3511944165041538;0.11183895985683465;7.056539576978764;1;0.007897640515891199;6822.918213846835;2460.9068136352103;0.005562376402585423;-0.00792734713162471;0.29284305634919744;500
ctx_lh_bankssts;0.23935545664731914;0.31238276590047515;0.07302730925315601;3.593731221688529;1;0.05799788520361781;7100.619197794771;3690.865661836415;0.05437517852822507;-0.030792269017719538;0.29872807544550395;500
ctx_lh_caudalmiddlefrontal;0.23935545664731914;0.3382740289068484;0.09891857225952924;6.862391053819977;1;0.008802867725278165;9545.861424479233;3545.9840375727636;0.007102059752886447;0.01123846253349571;0.29284661314480837;500
ctx_lh_cuneus;0.23935545664731914;0.2641531953657427;0.024797738718423584;0.9151975285255389;1;0.3387391120909594;5042.026706291331;5194.073669141855;0.3316843238648761;-0.07425182326528967;0.17888273482217873;500
ctx_lh_entorhinal;0.23935545664731914;0.333866800563152;0.09451134391583285;5.612322055173934;1;0.017834614250819145;1965.9026934641188;857.5391477514272;0.021877197575102533;0.004181347840951608;0.18770988522454746;500
ctx_lh_frontalpole;0.23935545664731914;0.24957849102850468;0.010223034381185547;0.7783838671807644;1;0.37763586678773275;2872.8752658612398;3261.991774275397;0.3784737256841615;-0.02926645164625366;0.06996654007409175;500
ctx_lh_fusiform;0.23935545664731914;0.3063070032580623;0.06695154661074318;4.745232588059594;1;0.029379581820942535;4048.6814984929542;1838.4494367712412;0.027649334945077243;0.00042657208427764634;0.1390252925465054;500
ctx_lh_inferiorparietal;0.23935545664731914;0.26749537976699617;0.02813992311967703;1.0069913262058776;1;0.31562470460770664;4893.854601382407;4832.707061330996;0.31122600425233216;-0.07463090681039404;0.1834908532913787;500
ctx_lh_inferiortemporal;0.23935545664731914;0.28934786068668533;0.049992404039366195;2.9942816985867466;1;0.08355896083555084;1438.1098195235722;848.1659188892165;0.08997066531864036;-0.00037880210889338847;0.10649624279403798;500
ctx_lh_isthmuscingulate;0.23935545664731914;0.35040910930109465;0.11105365265377551;7.755084486816656;1;0.005356153594197935;8901.579149230642;3076.3642797307293;0.0038092732518151635;-0.0024889163727629658;0.3902093672012023;500
ctx_lh_insula;0.23935545664731914;0.4036959144081282;0.16434045776080905;12.942263373159733;1;0.00032124636945155504;14476.134720403374;3841.391507115136;0.00016425703231342002;0.06716509290969461;0.3636558954140996;500
ctx_lh_lateraloccipital;0.23935545664731914;0.336383736324181;0.09702827967686187;6.305769385367796;1;0.012034567440575464;12148.677683399976;4748.14826767414;0.010509041754351373;-0.06911143460339718;0.23340290924639653;500
ctx_lh_lateralorbitofrontal;0.23935545664731914;0.25328462350034686;0.013929166853027725;0.5978613209036325;1;0.4393951944353759;3579.8997952155296;4592.4442105292155;0.43567375780839246;-0.023882382883593498;0.10507583400600365;500
ctx_lh_lingual;0.23935545664731914;0.29776258518890236;0.058407128541583225;3.5680283064204446;1;0.05890221070352302;9809.343650341283;5052.31968281416;0.05219130420388896;-0.04140703643319203;0.23039239079240414;500
ctx_lh_medialorbitofrontal;0.23935545664731914;0.28640903880149393;0.047053582154174795;3.1394545808430507;1;0.0764193590079869;7661.726626353947;4246.176834267754;0.0711713846595997;-0.01182607267112617;0.17957549648079169;500
