marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
frontal_c;0.31538930987419894;0.34554110204942456;0.030151792175225622;1.5214753876255713;1;0.21739635958717157;-1.301388031215673;1.047039168899567;0.21389657313142318;-0.007757505771420691;0.26163363692553376;500
frontal_s;0.31538930987419894;0.3156656060306336;0.0002762961564346522;0.00461237590542396;1;0.945853716027741;0.03073362842875744;0.45254531076902166;0.9458550330856837;-0.01198564199609995;0.13649256109200922;500
frontal_p;0.31538930987419894;0.33635352075496106;0.020964210880762113;1.0887916406895783;1;0.29673909735236204;-0.7013350529324334;0.6708585726791434;0.29582470755698287;-0.014244577979246257;0.2602387167391285;500
parocc_c;0.31538930987419894;0.3157642275423583;0.0003749176681593358;0.010949936244571745;1;0.9166599316474147;-0.07347220487822116;0.7020105784953156;0.9166458542034079;-0.0034930903475974074;0.2843011924345709;500
parocc_p;0.31538930987419894;0.35263911468290454;0.0372498048087056;0.8273118271972066;1;0.36305099570638444;0.7445490302069373;0.7931261333236972;0.34785790312090803;-0.010129777852727785;0.2697921008632202;500
parocc_s;0.31538930987419894;0.31801776277337934;0.0026284528991804;0.13525213094709443;1;0.7130474186888934;-0.1649075223539374;0.44873019752853166;0.713247463372745;-0.012728028023175464;0.18514481670220329;500
temp_p;0.31538930987419894;0.35206873015932705;0.036679420285128106;1.3901883813493896;1;0.23837328911094213;0.5927992773318806;0.49330197190801234;0.22948111863613152;-0.002884395713808089;0.20776365649579187;500
temp_c;0.31538930987419894;0.3157837548501805;0.00039444497598156714;0.00735349344131464;1;0.9316631567005637;0.05012516246405215;0.5845537809820703;0.9316655951864654;-0.007298761967366406;0.19721776463724314;500
cc_genu;0.31538930987419894;0.4003313614502745;0.08494205157607554;4.410509461816332;1;0.03571817233424235;-1.45966730651627;0.6807798494593036;0.03202402417155527;-0.008123520581808007;0.3604650378105876;500
temp_s;0.31538930987419894;0.3580400292660453;0.04265071939184634;2.942994948506737;1;0.08625067503956696;0.6865704062977163;0.39104872036586913;0.07913695223879268;-0.03908587608037162;0.25137911766268956;500
cc_splenium;0.31538930987419894;0.375811595626306;0.06042228575210706;2.611818560675772;1;0.10607006248287858;-0.9662799010373487;0.5844813042711241;0.09828480296533897;-0.0014824052259925617;0.3177961834934152;500
caps_ant;0.31538930987419894;0.33088643496375036;0.015497125089551422;7.445385996830737;1;0.006359927789499015;1.3661084176902;0.4130641798850627;0.000942152128696835;-0.08476754641670305;0.2193589031951294;500
thal;0.31538930987419894;0.36223618063342083;0.04684687075922189;1.917556550581196;1;0.16612627512001138;2.3169907564241776;1.6385248087771065;0.1573409957379054;0.006047072448627839;0.2640311611808417;500
caps_post;0.31538930987419894;0.332150544304777;0.01676123443057803;0.9609529060479645;1;0.3269469105249593;0.4493157906006186;0.4562366855239287;0.32470734980235494;-0.02345322135560426;0.16041826750814236;500
pons;0.31538930987419894;0.332090419414658;0.016701109540459058;1.2082839588153433;1;0.2716722459419152;0.4453255515086178;0.4018332423013853;0.2677604590184288;-0.03000656945934428;0.20432973282092076;500
cerebell_wm;0.31538930987419894;0.3193751405109034;0.003985830636704435;0.24040272018646647;1;0.6239154002511905;0.3663558489779836;0.746782204622955;0.6237240700133904;-0.005052902447027437;0.23962980066777562;500
atrophy;0.31538930987419894;0.36578007470055995;0.05039076482636101;2.5583645394387418;1;0.10971202704891067;0.6600171611631171;0.4071745217108963;0.10502434842430353;-0.06592666703136967;0.2722032645023629;500
cerebell_atr;0.31538930987419894;0.3128161168076411;-0.002573193066557844;0.4300595291609852;1;0.5119597396391093;0.3981150534649567;0.601943016206803;0.5083665382607168;-0.0558065902397223;0.10783168891811058;500
