marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Left_Accumbens_area;0.23935545664731914;0.45365367155371594;0.2142982149063968;14.421130407144574;1;0.00014615314089438635;-115.59035705902515;27.38809664096511;2.438046829150704e-05;0.0008063854197440951;0.42880871637391743;500
Brain_Stem;0.23935545664731914;0.2954979184967302;0.056142461849411046;3.0225623382898448;1;0.08211363223266151;-3.686542387368395;2.0789655341481734;0.07618595543485812;-0.004285017513502883;0.2651944516243145;500
CSF;0.23935545664731914;0.6117991326336567;0.37244367598633754;36.61486064605555;1;1.439302758047263e-09;0.4320435413493759;0.061278574231638204;1.782978923876397e-12;0.3169493853235909;0.6514955582082612;500
Fourth_Ventricle;0.23935545664731914;0.4693339901171023;0.22997853346978317;17.54432513144775;1;2.80687242455143e-05;21.488363489623115;5.0243288131127235;1.8954579424254862e-05;0.18382126016601696;0.5480747078437177;500
Left_Caudate;0.23935545664731914;0.5923334463200223;0.3529779896727031;30.73281390715556;1;2.9611489063716737e-08;-21.354419247760177;3.3064620118289576;1.058231509319656e-10;0.25557675366270377;0.5737753123837867;500
Left_Amygdala;0.23935545664731914;0.375044139674478;0.1356886830271589;9.268341291810827;1;0.002331487526539031;-64.79757233898812;20.145101492632527;0.0012974537738692055;-0.002998320000586084;0.35267173850025707;500
Left_Cerebellum_Cortex;0.23935545664731914;0.2677282735294253;0.02837281688210616;1.8524074056880977;1;0.17350365824174663;-0.8234507266942328;0.5992222095566021;0.16937982538453322;-0.008271084297331458;0.22748799528305835;500
Left_Cerebellum_White_Matter;0.23935545664731914;0.34932922142388123;0.1099737647765621;10.42173775263285;1;0.0012454065214902773;-6.683691783078833;2.0097324064104374;0.0008820865235992054;0.038934849155568996;0.41172682774828756;500
Left_Hippocampus;0.23935545664731914;0.24991671832842663;0.010561261681107492;0.3277130546390481;1;0.5670088375192859;-5.218406905156044;9.050841054092178;0.5642326965330732;-0.026708147677445455;0.19549468521988292;500
Left_Cerebral_White_Matter;0.23935545664731914;0.43819824796872797;0.19884279132140883;17.454644646000872;1;2.9424448668898737e-05;-0.8607715302720476;0.20190914683934214;2.015537112937099e-05;0.1319100476724077;0.5181859808893909;500
Left_Inf_Lat_Vent;0.23935545664731914;0.49041168126953444;0.25105622462221533;23.382021470250038;1;1.3281405201985143e-06;37.59546251583898;7.1998559141341945;1.7729135528750372e-07;0.12442020773860907;0.5388698747838554;500
Left_Lateral_Ventricle;0.23935545664731914;0.5028929980259369;0.26353754137861773;18.752651025342743;1;1.4881633931108005e-05;1.2879936752241186;0.2999928018251225;1.759454807961089e-05;0.23132462136980522;0.6218909300152631;500
Left_Putamen;0.23935545664731914;0.6161549172200138;0.37679946057269464;35.01639286667876;1;3.2694126270003616e-09;-17.60910495143804;2.5218477292525514;2.8972484861890495e-12;0.3134107474353111;0.6178125038977685;500
Left_Pallidum;0.23935545664731914;0.5858415048273824;0.34648604818006323;33.811031294667316;1;6.07335060891953e-09;-40.32684778799665;6.084910063130532;3.4175937525798725e-11;0.2621339938805073;0.5973115877850849;500
Left_Thalamus;0.23935545664731914;0.5477442056106893;0.3083887489633701;25.087505197494238;1;5.478670741684002e-07;-10.625392017776493;1.9582112206599982;5.760823205750604e-08;0.25480984531175;0.5969082672718594;500
Left_VentralDC;0.23935545664731914;0.508040874638013;0.2686854179906938;21.59438960754801;1;3.368356934381212e-06;-29.941551715141337;6.026439868596337;6.751985103061283e-07;0.18528625605148563;0.5598907577213217;500
Right_Accumbens_area;0.23935545664731914;0.4161073605162806;0.17675190386896147;11.102614725157935;1;0.0008620609215605566;-94.63384318371335;26.08957715371764;0.0002864378663707207;0.003669872345682432;0.3787880894792781;500
Right_Amygdala;0.23935545664731914;0.4488366671379565;0.20948121049063737;13.702200811861076;1;0.00021420332139934298;-74.67278748028922;18.077526764698053;3.616648491141697e-05;-0.0023624697919292234;0.40410086175001425;500
Right_Caudate;0.23935545664731914;0.594647765131179;0.35529230848385984;31.321046493311485;1;2.1869593378159007e-08;-20.050786441912035;3.048400252040142;4.784937313106602e-11;0.24200993298529752;0.5862933705913634;500
Right_Cerebellum_Cortex;0.23935545664731914;0.33689862325809444;0.0975431666107753;7.397844856311281;1;0.006530206621545154;-1.4530758318629258;0.5166033534316623;0.004911989797260176;0.00018261237622985474;0.32428014037581376;500
Right_Cerebellum_White_Matter;0.23935545664731914;0.40212103072812494;0.1627655740808058;15.891128989237473;1;6.709245557173842e-05;-8.247915443085542;1.9388078926426908;2.0987563254458368e-05;0.0991020544094731;0.4337420427013252;500
Right_Cerebral_White_Matter;0.23935545664731914;0.45702936813962025;0.21767391149230111;19.383598164444948;1;1.0692142393228063e-05;-0.9762318258986729;0.21121681228131312;3.8016457397298393e-06;0.15770038419341875;0.5304820549892671;500
Right_Hippocampus;0.23935545664731914;0.3444539119924909;0.10509845534517179;5.111193296548379;1;0.023771964445924883;-24.700461736135637;10.37769570493577;0.01730564041887122;-0.05802583082618911;0.3785038863714806;500
Right_Inf_Lat_Vent;0.23935545664731914;0.4829518422724079;0.24359638562508876;24.28211687131636;1;8.320800795748944e-07;41.805718896938565;7.625419379609633;4.1955694904054554e-08;0.06218023674551297;0.5168030879292342;500
Right_Lateral_Ventricle;0.23935545664731914;0.5757354068937395;0.3363799502464203;30.92955431621823;1;2.675660175601832e-08;1.984608131783151;0.32633979313965505;1.1912556056883423e-09;0.2933038711510329;0.6529271993080101;500
Right_Putamen;0.23935545664731914;0.6396693478563618;0.4003138912090426;39.58536622487196;1;3.140276256344825e-10;-16.886597825981067;2.3079756163146405;2.542804517618036e-13;0.35894291279679735;0.6551930285339207;500
Right_Pallidum;0.23935545664731914;0.5675518844364529;0.3281964277891337;30.507752035322255;1;3.325350842014825e-08;-47.84298358566275;7.850621836024016;1.1001025522328022e-09;0.2542179689967056;0.5800742968873954;500
Right_Thalamus;0.23935545664731914;0.5909645572948529;0.3516091006475337;30.661674360551956;1;3.07172826208199e-08;-10.206735338384847;1.6694681252975128;9.730773604643713e-10;0.3148974383016066;0.6340801417551178;500
Right_VentralDC;0.23935545664731914;0.5845254225967558;0.3451699659494366;31.5620821483094;1;1.9316476770921798e-08;-35.66945046624695;5.644084448650548;2.6191237885877617e-10;0.2872174759372065;0.6046605892356559;500
ctx_lh_bankssts;0.23935545664731914;0.2414805339067618;0.002125077259442665;0.17382221487389415;1;0.6767369868830762;-3.0783015498624438;7.386588211089146;0.6768671296288666;-0.022109909638646126;0.12706792850791024;500
Third_Ventricle;0.23935545664731914;0.6202998764552499;0.3809444198079307;36.56407565392226;1;1.477293491815866e-09;21.38919582551493;3.236077555798489;3.8534567054271257e-11;0.35471791184177476;0.6384112439756481;500
ctx_lh_caudalanteriorcingulate;0.23935545664731914;0.4215724420257276;0.18221698537840844;14.56800584761379;1;0.00013519054070058564;-27.105005315002785;6.732882249208806;5.679025420816732e-05;0.07158719274750497;0.4390751813981339;500
ctx_lh_caudalmiddlefrontal;0.23935545664731914;0.2874287953794119;0.04807333873209277;2.6831948360749607;1;0.1014120895359048;-4.417702496172226;2.704151721516285;0.10232730988708413;-0.0004994757556908316;0.33425759784897585;500
ctx_lh_entorhinal;0.23935545664731914;0.2610922334927385;0.021736776845419387;2.270450894082103;1;0.13186153360880992;17.037563820895954;11.191013332249328;0.12790071492578567;-0.016274586394873815;0.16571229636347923;500
