marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
Brainstem_structure;0.23935545664731914;0.2954979184967302;0.056142461849411046;3.0225623382898448;1;0.08211363223266151;-3.686542387368395;2.0789655341481734;0.07618595543485812;-0.004285017513502883;0.2651944516243145;500
Cerebellum_structure;0.23935545664731914;0.30175726772536254;0.06240181107804341;4.472417872337303;1;0.03444621406099441;-0.6153574634207284;0.28502213966684964;0.030851619418811982;-0.0016115254465629751;0.28496289683829124;500
Cingulate_structure;0.23935545664731914;0.5723201558386033;0.33296469919128413;32.16778079975677;1;1.4141652980504101e-08;-6.514111199653139;1.036685869759489;3.308379416668052e-10;0.3105746883274835;0.5918908993728426;500
Frontal_structure;0.23935545664731914;0.26024501903062935;0.020889562383310217;0.8973403669961044;1;0.3434958589176481;-0.3186330404951528;0.33337215652206315;0.3391794526006867;-0.03140956333720245;0.3155256527078874;500
Subcortical_Deep_Gray_structure;0.23935545664731914;0.6138858405515476;0.37453038390422844;34.25495709242557;1;4.834424519234155e-09;-1.9876199485706638;0.2978930614945231;2.5189383961145652e-11;0.332353856288293;0.6368061788530273;500
Insula_structure;0.23935545664731914;0.35892353196030746;0.11956807531298833;8.95567313817736;1;0.0027660924658729166;-11.567845029952231;3.784947428284655;0.002241046551937636;0.02774488572598073;0.36707387457979507;500
Parietal_structure;0.23935545664731914;0.5196037907653247;0.28024833411800554;24.702294231450992;1;6.690448455477285e-07;-1.5626964530592804;0.28444428980398223;3.932473871113477e-08;0.17261154454562574;0.5105404082631798;500
Occipital_structure;0.23935545664731914;0.5663999594218169;0.3270445027744977;32.41528345600858;1;1.2450341716008991e-08;-3.815803581576016;0.5956047043161482;1.4879645999463989e-10;0.19356605907738164;0.5983193236382598;500
Ventricle_CSF_structure;0.23935545664731914;0.6257877627068337;0.3864323060595145;39.754875736358485;1;2.8792093417410783e-10;0.3177534409171026;0.04331377512446358;2.1993597728451406e-13;0.34781293489738097;0.6806176699329558;500
Temporal_structure;0.23935545664731914;0.34806964279179486;0.10871418614447573;7.461649288399769;1;0.006302723491181846;-1.2986520202966796;0.4577782624074109;0.004555984034580934;-0.004237992460252048;0.4096171201334433;500
White_Matter_structure;0.23935545664731914;0.4789002470954208;0.23954479044810165;21.919150872816033;1;2.8438172563915314e-06;-0.49056470185664586;0.09928993661357985;7.783089082593129e-07;0.18837925015925575;0.5517576811471371;500
